Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,828.0,18.0,42.0,828.0,0.1,16.367000000000015,0.0,0.0,75.1584906578064,,,,,,,,,,,,,,,,,,,,,4.616547156445703,5.3036538086330225,16.205499813556578,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,852.0,19.0,24.0,852.0,0.1,10.124599999999997,0.0,0.0,77.75039553642273,,,,,,,,,,,,,,,,,,,,,3.159001632804177,3.539084978292005,10.068911715331648,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,890.0,20.0,38.0,890.0,0.1,13.965799999999998,0.0,0.0,81.70448851585388,,,,,,,,,,,,,,,,,,,,,3.7437950763289476,4.517121904713983,13.8512243846444,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,68.0,1.0,68.0,958.0,0.1,43.246199999999966,0.0,0.0,171.62823224067688,,,,,,,,,,,,,,,,,,,,,17.131155692214893,13.966467893065193,42.16557038813527,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,144.0,2.0,76.0,1034.0,0.1,30.264999999999993,0.0,0.0,178.8722789287567,,,,,,,,,,,,,,,,,,,,,8.21792697394674,9.246987989951947,29.69980746510279,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,170.0,3.0,26.0,1060.0,0.1,10.644999999999998,0.0,0.0,181.68372011184692,,,,,,,,,,,,,,,,,,,,,3.246220391143175,3.6320030180109124,10.581751190460006,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,265.0,4.0,95.0,1155.0,0.1,49.727399999999946,0.0,0.0,190.4424533843994,,,,,,,,,,,,,,,,,,,,,19.244087909360708,14.57989896746041,47.99515396137952,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,345.0,5.0,80.0,1235.0,0.1,44.44559999999994,0.0,0.0,197.86924767494202,,,,,,,,,,,,,,,,,,,,,19.096190678581245,13.293477166015606,43.003869480805655,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,383.0,6.0,38.0,1273.0,0.1,20.045600000000007,0.0,0.0,201.64599704742432,,,,,,,,,,,,,,,,,,,,,6.92423327978991,6.873179908793754,19.822103520305077,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,440.0,7.0,57.0,1330.0,0.1,24.324800000000007,0.0,0.0,207.3760163784027,,,,,,,,,,,,,,,,,,,,,8.706950873358062,6.938712336698721,23.876232388763736,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,476.0,8.0,36.0,1366.0,0.1,14.665400000000002,0.0,0.0,211.01507878303528,,,,,,,,,,,,,,,,,,,,,4.64156943462493,4.866243170040945,14.527343660330502,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,538.0,9.0,62.0,1428.0,0.1,37.544399999999975,0.0,0.0,216.95024943351746,,,,,,,,,,,,,,,,,,,,,14.858090957700176,11.88298242149515,36.696554773615055,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
