Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,1897.0,18.0,70.0,1897.0,0.1,43.405799999999964,0.0,0.0,165.49002766609192,,,,,,,,,,,,,,,,,,,,,17.614472611802153,13.694278334555678,42.25725917827122,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1993.0,19.0,96.0,1993.0,0.1,45.00899999999995,0.0,0.0,174.39856815338135,,,,,,,,,,,,,,,,,,,,,14.76543474899419,13.897212309775531,43.67883224976387,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,2184.0,20.0,191.0,2184.0,0.1,119.4055999999999,0.0,0.0,191.5616807937622,,,,,,,,,,,,,,,,,,,,,53.27241115758392,33.74806159719116,109.44935873701684,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,152.0,1.0,152.0,2336.0,0.1,91.68499999999995,0.0,0.0,429.57469630241394,,,,,,,,,,,,,,,,,,,,,37.43271707507187,27.48053023825999,86.16747578869068,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,245.0,2.0,93.0,2429.0,0.1,55.28859999999993,0.0,0.0,438.1451823711395,,,,,,,,,,,,,,,,,,,,,19.679037521775008,18.109265574338856,53.56552699894583,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,370.0,3.0,125.0,2554.0,0.1,61.54739999999991,0.0,0.0,449.8366916179657,,,,,,,,,,,,,,,,,,,,,23.378978244384,18.04350607439643,58.74245388476768,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,813.0,4.0,443.0,2997.0,0.1,267.34740000000096,0.0,0.0,488.76585388183594,,,,,,,,,,,,,,,,,,,,,106.74072676282893,63.495944487321204,220.50204162527587,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,896.0,5.0,83.0,3080.0,0.1,49.006399999999964,0.0,0.0,496.5075545310974,,,,,,,,,,,,,,,,,,,,,18.763709750191676,15.25071372210984,47.54405265198542,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,1084.0,6.0,188.0,3268.0,0.1,103.82619999999994,0.0,0.0,513.1003568172455,,,,,,,,,,,,,,,,,,,,,45.089467235927685,28.939906936270464,95.54036534998022,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,1133.0,7.0,49.0,3317.0,0.1,16.6874,0.0,0.0,518.1311025619507,,,,,,,,,,,,,,,,,,,,,4.330998057290587,5.209272208266038,16.50818094890963,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,1195.0,8.0,62.0,3379.0,0.1,35.62519999999997,0.0,0.0,524.1247441768646,,,,,,,,,,,,,,,,,,,,,13.626493120958164,11.445067141354906,34.85002262172142,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,1242.0,9.0,47.0,3426.0,0.1,25.646600000000014,0.0,0.0,528.8101518154144,,,,,,,,,,,,,,,,,,,,,8.866817419835606,8.604542224195695,25.280395091054746,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,1272.0,10.0,30.0,3456.0,0.1,11.7048,0.0,0.0,532.0276095867157,,,,,,,,,,,,,,,,,,,,,3.466352176419746,3.9423537986524706,11.624045902466438,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,1366.0,11.0,94.0,3550.0,0.1,48.34699999999994,0.0,0.0,540.5712299346924,,,,,,,,,,,,,,,,,,,,,19.18678507240689,13.980419459314447,46.63666890433352,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,1426.0,12.0,60.0,3610.0,0.1,28.906000000000002,0.0,0.0,546.4709475040436,,,,,,,,,,,,,,,,,,,,,10.87820376720823,9.142749852812235,28.309899262593433,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,1458.0,13.0,32.0,3642.0,0.1,13.3652,0.0,0.0,549.914849281311,,,,,,,,,,,,,,,,,,,,,3.8701791688084772,4.460126643785385,13.267876752225826,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,1482.0,14.0,24.0,3666.0,0.1,8.545399999999997,0.0,0.0,552.7495422363281,,,,,,,,,,,,,,,,,,,,,2.413778315182029,2.93268232926206,8.50446975547683,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,1535.0,15.0,53.0,3719.0,0.1,27.544800000000006,0.0,0.0,557.9578769207001,,,,,,,,,,,,,,,,,,,,,10.518175453484155,8.361211217655208,27.041392444461835,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,1563.0,16.0,28.0,3747.0,0.1,8.825199999999999,0.0,0.0,560.9179048538208,,,,,,,,,,,,,,,,,,,,,2.4541347463048835,2.8679651709367335,8.774023500080125,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1669.0,17.0,106.0,3853.0,0.1,45.62439999999995,0.0,0.0,570.8853766918182,,,,,,,,,,,,,,,,,,,,,20.810843378817516,12.333487101742358,43.505417932292,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1733.0,18.0,64.0,3917.0,0.1,31.027000000000008,0.0,0.0,577.0150489807129,,,,,,,,,,,,,,,,,,,,,11.258398231848421,9.702136133542025,30.367166478953123,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,2171.0,19.0,438.0,4355.0,0.1,260.84460000000087,0.0,0.0,615.345867395401,,,,,,,,,,,,,,,,,,,,,109.47237746894393,62.08694174010642,213.32212960568435,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,2249.0,20.0,78.0,4433.0,0.1,22.9144,0.0,0.0,622.6029200553894,,,,,,,,,,,,,,,,,,,,,8.311605322764049,5.5382131543350015,22.310693861854254,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
